pos	id	title	duration_s	words	sentences	wps	backchannel_per_1k	speakers	verdict	provenance
1242	y5rgopC4MVg	Judging the Hack-A-Day Prize	145	362	28	12.9	0.0	solo	good	youtube-asr
1243	P2AO5fvPJTk	GoPro Hero 4 Silver/Black Low Light Performance Test	406	986	1	986.0	0.0	solo	needs-whisper	whisper-large-v3
1244	O3LP2entyNQ	Fluke VT02 Visual Thermometer vs Flir i3 Thermal Camera	177	436	1	436.0	0.0	solo	needs-whisper	whisper-large-v3
1245	bsBzWp_xdUc	How To Clean Model Train Railway Track	331	975	0	975.0	0.0	solo	needs-whisper	whisper-large-v3
1246	adSk6suM29E	Silicon Chip Electronex 2014	647	2352	1	2352.0	0.0	solo	needs-whisper	whisper-large-v3
1247	JbkNE-UWWXY	EEVBlog Outtake - Check before hitting record...	21	37	0	37.0	0.0	solo	needs-whisper	whisper-large-v3
1248	6RRKWORDPxM	Tesla Model S - Australian Test Drive	2008	5558	1	5558.0	0.0	solo	needs-whisper	whisper-large-v3
1249	mjfOTRBqpJw	Interview with Rod Elliott from Elliott Sound Products	679	0	0	0	0.0	unknown	no-captions	whisper-large-v3
1250	Z9t6KFUUaqM	LAB LED Lighting Shuffle	413	1252	0	1252.0	0.0	solo	needs-whisper	whisper-large-v3
1251	aoMiATXObGU	Adobe Premiere Pro CC vs Sony (Vegas) Movie Studio Quality Test - Sony AVC Output	58	167	0	167.0	0.0	solo	needs-whisper	whisper-large-v3
1252	zEmRRfWjros	Adobe Premiere Pro CC vs Sony (Vegas) Movie Studio Quality Test - Sony XDCAM Output	58	167	0	167.0	0.0	solo	needs-whisper	whisper-large-v3
1253	9VclrClfKtg	Adobe Premiere Pro CC vs Sony (Vegas) Movie Studio Quality Test - Premiere Footage	58	167	0	167.0	0.0	solo	needs-whisper	whisper-large-v3
1254	UEbYiDrK1rQ	How To Exercise In The Lab	20	0	0	0	0.0	unknown	no-captions	whisper-large-v3
1255	VfGUM66j5zg	Destin From SmarterEveryDay - High Speed Video Capture	429	1130	0	1130.0	0.0	solo	needs-whisper	whisper-large-v3
